neo_reference_id,name,absolute_magnitude_h,min_diameter_m,max_diameter_m,close_approach_date,epoch_date_close_approach,miss_distance_km,relative_velocity_kph,is_potentially_hazardous,is_sentry_object
3836853,(2018 XR2),27.5,8.4053340207,18.7948982439,2024-04-09,1712634780000,51959925.12651976,23637.6974847789,False,False
54109941,(2021 CG),26.1,16.0160337979,35.8129403019,2024-04-09,1712698140000,17857317.057592615,36316.8596358014,False,False
2654647,654647 (2015 CN62),20.15,248.0589931518,554.6767711177,2024-04-09,1712679420000,25174124.65939746,7866.4000584519,False,False
54428347,(2024 DD1),23.47,53.7718497693,120.23751136,2024-04-09,1712665560000,21342194.32299546,22349.3973710299,False,False
54432239,(2024 GE),25.73,18.9913123471,42.46586539,2024-04-09,1712690940000,10580313.499611,27879.409907454,False,False
54433104,(2024 GQ1),28.53,5.230641758,11.6960705369,2024-04-09,1712661540000,554127.056004422,48302.5361833908,False,False
54433950,(2024 GW4),28.93,4.350658314,9.7283677369,2024-04-09,1712635620000,163315.979719213,43614.9563677567,False,True
54433951,(2024 GY4),29.55,3.2700543928,7.3120639125,2024-04-09,1712664480000,126261.664424877,33598.8131951437,False,False
54435539,(2024 HU),23.8,46.1907460282,103.2856480504,2024-04-09,1712631120000,11387726.100572612,68762.4504657984,False,True
3283898,(2005 NB56),23.33,57.3528463953,128.2448632429,2024-04-10,1712760900000,24043506.623249985,32245.6941768174,False,False
3879227,(2019 UK),21.64,124.8978540673,279.2800919383,2024-04-10,1712724480000,63918328.834007226,73445.198163822,True,False
54179001,(2021 PT3),25.66,19.6134944368,43.8571068371,2024-04-10,1712783580000,11181205.971761446,29032.2221012146,False,False
54419704,(2024 AZ2),21.05,163.8909514948,366.4713084395,2024-04-10,1712776140000,53416413.84846481,65515.7064209674,False,False
54431503,(2024 FL1),24.28,37.0301078223,82.8018383048,2024-04-10,1712756340000,12816288.37085924,32375.9000764995,False,False
54431626,(2024 FG2),21.97,107.2889454508,239.9053752622,2024-04-10,1712710140000,20858605.89401003,73469.8279456171,False,False
54431772,(2024 FT2),25.14,24.9203981441,55.7237042765,2024-04-10,1712758140000,4512467.30832047,42697.2427371306,False,False
54432218,(2024 FZ3),25.28,23.3644184974,52.2444280149,2024-04-10,1712755080000,9494440.874530723,29660.3689920975,False,False
54433325,(2024 GT1),24.05,41.1675457307,92.0534307207,2024-04-10,1712721480000,24196184.99762924,52664.184048811,False,False
54433566,(2024 GC3),25.13,25.0354254756,55.980913209,2024-04-10,1712752440000,19591077.891850013,13984.8205741699,False,False
54434078,(2024 GJ5),26.73,11.9827080067,26.7941496575,2024-04-10,1712753460000,2845022.028010899,29793.0482597606,False,False
2215588,215588 (2003 HF2),19.42,347.1802220654,776.3185769818,2024-04-11,1712803740000,53378164.48554576,117691.3199196634,True,False
3604480,(2012 KK11),25.3,23.150212221,51.7654482198,2024-04-11,1712879100000,60934544.055404045,56976.6411693781,False,False
3662960,(2014 DD112),23.99,42.320907965,94.6324270793,2024-04-11,1712809200000,48365950.59254244,16380.504278286,False,False
3712627,(2015 DK200),25.61,20.0703514113,44.8786700881,2024-04-11,1712831340000,15965785.941375412,23983.5064062972,False,False
3720890,(2015 KY157),22.08,101.9893858518,228.0551997482,2024-04-11,1712849100000,20630235.70974368,62443.7297469536,False,False
54138713,(2021 HF1),27.85,7.1540995088,15.9970528196,2024-04-11,1712865000000,26921821.402913004,27667.6905712662,False,False
54196823,(2021 RB16),26.84,11.3908196722,25.4706471064,2024-04-11,1712843520000,47739462.71770371,20695.1623584843,False,False
54431494,(2024 FA1),22.48,84.8310761886,189.6880529621,2024-04-11,1712821440000,28424800.879314754,33573.7748629427,False,False
54432838,(2024 GZ),26.46,13.5692228993,30.3417048048,2024-04-11,1712832180000,7786441.421798381,20008.5330494372,False,False
54433334,(2024 GJ2),30.37,2.2415837861,5.0123337231,2024-04-11,1712860200000,18673.718680407,51765.1002517306,False,False
54433560,(2024 GW2),23.61,50.4144433858,112.7301224584,2024-04-11,1712872800000,25905547.376716003,69015.2137914528,False,False
54434339,(2024 GP5),24.83,28.7445144255,64.2746882356,2024-04-11,1712805960000,6636183.878081565,70923.2867669146,False,False
54434343,(2024 GY5),27.96,6.8007212874,15.2068750946,2024-04-11,1712814480000,792400.185430947,56409.3490461458,False,True
54434346,(2024 GC6),25.77,18.644681832,41.6907759952,2024-04-11,1712867880000,3627797.894314544,45331.0902420628,False,False
54435540,(2024 HV),24.56,32.5502985765,72.7846803049,2024-04-11,1712872200000,7511238.008671537,60973.1702225604,False,False
3408697,(2008 GU20),23.16,62.0233152954,138.6883491905,2024-04-12,1712936520000,28762374.59152264,22122.1532514293,False,False
